SID,Nombre,Código,Organización,Latitud,Longitud,Altura,Medida,Valor,Confianza
716,"Los Maquis","AG67","agromet",-34.499722222,-70.839722222,471.0,"Temperatura",25.26,100
499,"Paillaco Norte","AG134","agromet",-40.045833333,-72.901388889,72.0,"Temperatura",,0
796,"San Fabián","AG321","agromet",-38.446389,-72.849444,195.0,"Temperatura",18.98,100
1129,"Andacollo [Collowara]","CEAZA_ANDA_Andacollo [Collowara]","ceaza",-30.24875,-71.06526,1281.0,"Temperatura",22.61,100
611,"Colliguay","AG499","agromet",-33.1686089,-71.1557171,508.0,"Temperatura",23.4,100
522,"Caleta Toro","AG359","agromet",-30.74043,-71.7004,18.0,"Temperatura",,0
617,"Santa María","AG28","agromet",-32.749166667,-70.660277778,708.0,"Temperatura",26.32,100
803,"Isla Riesco / Río Verde","AG270","agromet",-53.030495,-71.933637,70.0,"Temperatura",10.3,100
84,"Grande en Las Ramadas","04511002-8","dga",-31.0117,-70.5811,1380.0,"Temperatura",,0
1245,"RIO MURTA EN DESEMBOCADURA","11514001-9","dga",-46.4333,-72.7,219.0,"Temperatura",,0
476,"Juan Kalt Bode (Fundación Adolfo Matthei)","400013","dmc",-40.5867,-73.1044,53.0,"Temperatura",,0
843,"Longaví Norte","AG100","agromet",-36.053611111,-71.683333333,174.0,"Temperatura",21.38,100
334,"Puerto Montt","10425001-7","dga",-41.46,-72.9378,90.0,"Temperatura",,0
304,"Pueblo Nuevo","09129005-7","dga",-38.7128,-72.5558,119.0,"Temperatura",,0
185,"Curico","07118003-4","dga",-34.9811,-71.2361,195.0,"Temperatura",,0
1317,"Santa Lucía","AG673","agromet",-36.69746,-72.704216,281.0,"Temperatura",23.65,100
588,"Manuel Montt","AG276","agromet",-32.322861,-71.06105583,322.0,"Temperatura",21.03,100
1306,"Río Claro en Tunca","06015001-K","dga",-34.385555555555555,-71.10166666666666,480.0,"Temperatura",,0
284,"Cn Zañartu dp. B Laja","08375004-9","dga",-37.3036,-71.6378,490.0,"Temperatura",,0
1246,"LAGO GENERAL CARRERA EN DESAGÜE","11517002-3","dga",-46.8456,-72.8033,210.0,"Temperatura",,0
758,"Pica","AG551","agromet",-20.501476,-69.342572,1292.0,"Temperatura",24.41,100
893,"Río Hurtado en Angostura de Pangue","04503001-6","dga",-30.4386,-71.0022,485.0,"Temperatura",,0
1397,"Los Corrales","CEAZA_CORR_Los Corrales","ceaza",-30.161408,-69.87599399999999,3982.0,"Temperatura",,0
742,"Tierras Nobles","AG120","agromet",-37.441944444,-72.617777778,92.0,"Temperatura",23.78,100
894,"Embalse Recoleta","04506010-1","dga",-30.492222222222225,-71.09055555555555,0.0,"Temperatura",,0
